Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Slice
192.168.56.112-60.61.0.1-80-1766-6,60.61.0.1,1766,192.168.56.112,80,6,09/07/2022 12:43:50 AM,1010,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2970.29702970297,505.0,270.1147904132612,696.0,314.0,0.0,0.0,0.0,0.0,0.0,314.0,314.0,0.0,314.0,314.0,0,0,0,0,20,44,990.09900990099,1980.19801980198,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.1-80-6432-6,60.61.0.1,6432,192.168.56.112,80,6,09/07/2022 02:01:59 AM,2644,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134.64447806354,1322.0,680.2367235014588,1803.0,841.0,0.0,0.0,0.0,0.0,0.0,841.0,841.0,0.0,841.0,841.0,0,0,0,0,20,44,378.21482602118,756.4296520423601,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.3-80-5858-6,60.61.0.3,5858,192.168.56.112,80,6,09/07/2022 01:33:47 AM,812,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2463.054187192118,812.0,0.0,812.0,812.0,0.0,0.0,0.0,0.0,0.0,812.0,812.0,0.0,812.0,812.0,0,0,0,0,0,40,0.0,2463.054187192118,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.3-80-3448-6,60.61.0.3,3448,192.168.56.112,80,6,09/07/2022 12:53:23 AM,683,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2928.2576866764275,683.0,0.0,683.0,683.0,0.0,0.0,0.0,0.0,0.0,683.0,683.0,0.0,683.0,683.0,0,0,0,0,0,40,0.0,2928.2576866764275,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.3-80-6793-6,60.61.0.3,6793,192.168.56.112,80,6,09/07/2022 01:49:25 AM,693,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2886.002886002886,693.0,0.0,693.0,693.0,0.0,0.0,0.0,0.0,0.0,693.0,693.0,0.0,693.0,693.0,0,0,0,0,0,40,0.0,2886.002886002886,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.3-80-6540-6,60.61.0.3,6540,192.168.56.112,80,6,09/07/2022 01:45:12 AM,916,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2183.406113537118,916.0,0.0,916.0,916.0,0.0,0.0,0.0,0.0,0.0,916.0,916.0,0.0,916.0,916.0,0,0,0,0,0,40,0.0,2183.406113537118,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.1-80-5474-6,60.61.0.1,5474,192.168.56.112,80,6,09/07/2022 01:45:56 AM,2156,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1391.465677179963,1078.0,807.5159441150373,1649.0,507.0,0.0,0.0,0.0,0.0,0.0,507.0,507.0,0.0,507.0,507.0,0,0,0,0,20,44,463.821892393321,927.643784786642,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.5-80-3423-6,60.61.0.5,3423,192.168.56.112,80,6,09/07/2022 02:01:51 AM,2826,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1061.5711252653928,1413.0,810.3443712397834,1986.0,840.0,0.0,0.0,0.0,0.0,0.0,840.0,840.0,0.0,840.0,840.0,0,0,0,0,20,68,353.8570417551309,707.7140835102618,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,65160,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.1-80-6312-6,60.61.0.1,6312,192.168.56.112,80,6,09/07/2022 01:59:58 AM,3650,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821.917808219178,1825.0,1424.1130573097066,2832.0,818.0,0.0,0.0,0.0,0.0,0.0,818.0,818.0,0.0,818.0,818.0,0,0,0,0,20,44,273.972602739726,547.945205479452,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.3-80-3172-6,60.61.0.3,3172,192.168.56.112,80,6,09/07/2022 12:48:45 AM,804,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2487.5621890547263,804.0,0.0,804.0,804.0,0.0,0.0,0.0,0.0,0.0,804.0,804.0,0.0,804.0,804.0,0,0,0,0,0,40,0.0,2487.5621890547263,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
