Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Slice
192.168.56.112-60.61.0.1-80-1940-6,60.61.0.1,1940,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2255337,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8867854338398209,2255337.0,0.0,2255337.0,2255337.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.4433927169199104,0.4433927169199104,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
192.168.56.112-60.61.0.1-80-1941-6,60.61.0.1,1941,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2254784,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8870029235616361,2254784.0,0.0,2254784.0,2254784.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.443501461780818,0.443501461780818,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
192.168.56.112-60.61.0.1-80-1942-6,60.61.0.1,1942,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2254784,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8870029235616361,2254784.0,0.0,2254784.0,2254784.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.443501461780818,0.443501461780818,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
192.168.56.112-60.61.0.1-80-1943-6,60.61.0.1,1943,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2254551,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8870945922270109,2254551.0,0.0,2254551.0,2254551.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.4435472961135054,0.4435472961135054,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
192.168.56.112-60.61.0.1-80-1944-6,60.61.0.1,1944,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2254377,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887163061014196,2254377.0,0.0,2254377.0,2254377.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.443581530507098,0.443581530507098,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
192.168.56.112-60.61.0.1-80-1945-6,60.61.0.1,1945,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2254150,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8872524011268105,2254150.0,0.0,2254150.0,2254150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.4436262005634052,0.4436262005634052,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
192.168.56.112-60.61.0.1-80-1946-6,60.61.0.1,1946,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2253921,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8873425466109948,2253921.0,0.0,2253921.0,2253921.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.4436712733054974,0.4436712733054974,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
192.168.56.112-60.61.0.1-80-1947-6,60.61.0.1,1947,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2253822,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8873815234743472,2253822.0,0.0,2253822.0,2253822.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.4436907617371736,0.4436907617371736,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
192.168.56.112-60.61.0.1-80-1948-6,60.61.0.1,1948,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2253688,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8874342854911594,2253688.0,0.0,2253688.0,2253688.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.4437171427455797,0.4437171427455797,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
192.168.56.112-60.61.0.1-80-1949-6,60.61.0.1,1949,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2253555,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8874866599661424,2253555.0,0.0,2253555.0,2253555.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.4437433299830712,0.4437433299830712,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
